Time(Iteration),EpsilonGreedyMultiArmedBandit,UCB,TS,PHE
0,3.8495051729128744,3.4192624022618943,4.76619392588229,3.4192624022618943
1,8.039057846979695,7.990427596387437,9.266477897809393,7.990427596387437
2,12.254657590819097,11.16021670650042,13.65730002044008,11.16021670650042
3,15.52612755320425,14.063907740104431,18.59716413221536,14.063907740104431
4,18.349210060590703,17.588253312228197,21.782282975720108,17.588253312228197
5,21.66924741889419,20.244830614495545,25.906259200565792,20.244830614495545
6,25.400604763709094,23.99056272344926,29.635394919032013,23.99056272344926
7,27.808920973618587,27.497672591372655,32.3315110701297,27.497672591372655
8,30.064970044519956,30.70769820565467,35.80066134244422,30.70769820565467
9,34.0256563210943,34.33831464757022,38.549133327479794,34.33831464757022
10,36.84137691551797,38.126662163979894,42.05838549568884,38.126662163979894
11,39.55596855017484,41.35140565926842,45.33028381637617,41.35140565926842
12,41.85283702058827,44.77526806607867,48.89360888872393,44.77526806607867
13,44.784200148388734,47.450290087575574,53.31514248207218,47.450290087575574
14,47.921243048563674,52.43937460194511,57.606435157536986,52.43937460194511
15,52.23185625422358,56.240053699085756,62.19234004918342,56.240053699085756
16,55.994716148370735,60.531552050463844,65.79685078567627,60.531552050463844
17,58.71934077032005,65.44241456469418,69.6943777072332,65.44241456469418
18,60.98438343997844,68.16345547691596,72.59747491202774,68.16345547691596
19,63.17798139338585,72.64820114594193,75.37413052959762,72.64820114594193
20,65.1648325965258,75.87143996697937,78.34904757672007,75.87143996697937
21,67.03213063272968,80.28488577286754,80.74166624821038,80.28488577286754
22,68.52078303234705,84.19400978899633,83.22418570546837,84.19400978899633
23,70.79627283496562,88.17604566138513,85.16101456115985,88.17604566138513
24,72.33829643856835,93.21567829857575,88.2943104292795,93.21567829857575
25,74.65328455625755,94.13136184506347,90.31352467105934,94.13136184506347
26,76.60582713791652,94.33519367500115,91.32899152010656,94.3369397733481
27,78.65106866458518,94.62260817541642,93.93738236457474,94.36055318636153
28,80.0141820569534,95.16250016903403,95.34376328726717,94.70474321202886
29,81.72332170529961,95.77124463179078,96.33052643430172,94.83253682209245
30,85.33736330705894,95.79069849085082,97.31650464314338,94.85435384651625
31,87.29223027362507,96.26200823509919,98.48327834701558,94.98176040095615
32,89.01918756379608,96.59158345330752,99.0437157629736,95.05161765235917
33,90.88384265640558,96.89634307699052,99.6897993163418,95.09406785741582
34,92.07498239954026,97.2703386475943,100.0497578409012,95.36321737117923
35,94.34297551662434,97.95962498436546,100.64895400225025,95.38857688253961
36,96.31825283252385,98.28775342261724,101.212680196856,95.47976498000008
37,98.45751061971944,99.02353107846714,101.68072087876088,95.5245783504205
38,101.30955134491836,99.71412181783093,102.05208182893023,95.57813433498069
39,103.59887070957636,99.97524107703143,102.46231739102201,95.84423826596735
40,105.27852395133883,100.39674777283487,102.66998493210758,95.8899971120853
41,107.03520871277318,100.68886695943748,103.05202356258457,95.91299345808191
42,109.23178008674893,100.85856627484907,103.08549730762614,96.00499614258946
43,111.10914872190634,101.29521605551678,103.36861733948827,96.03035565394984
44,114.35333268168696,101.86052478299547,103.81087623545152,96.07516902437025
45,117.03791358320484,101.94488559289657,104.06315347412166,96.11998239479067
46,118.70119626722597,102.21658899197551,104.67463217025927,96.38410288260017
47,121.11299444106776,103.13278704141096,104.67463217025927,96.40946239396055
48,122.47818890393975,103.5618337772172,105.15665783399068,96.49725409346593
49,123.97400189678334,104.00624917247798,105.18201734535106,96.58116703050368
50,125.51278975799032,104.37201280791614,105.29516732838277,96.60298405492748
51,126.79458544553346,104.69958692935151,105.42177606780507,96.79974553577276
52,128.5354859525852,105.4163091181033,105.73111082143777,96.81108516115158
53,130.82927204654044,106.38729782211507,105.85174634264472,96.81923754974876
54,133.122797264359,106.58963845976395,106.02482939164285,96.84315592267446
55,135.17017444369162,107.47070705598662,106.32009981173198,97.05222081290334
56,136.62498257452404,107.75661735432018,106.6266432906984,97.10637608287747
57,138.99387367041297,108.1571083968673,106.85934790915147,97.13091152281997
58,140.14824373351837,108.21519644301064,107.04987998758897,97.13409875960161
59,142.1023550454108,108.43151119131079,107.18403652131543,97.27061845869184
60,143.28992766153746,108.43151119131079,107.45352361487613,97.29423187170526
61,145.0417724819469,108.54457237354542,107.49738447164277,97.37185558908928
62,146.9619472917949,108.7033645113461,107.73121217131157,97.42840779130219
63,148.81457203616807,108.88308709430373,107.77031073095284,97.48778428142138
64,150.86756846592797,109.26698989827493,108.13504296965718,97.510780627418
65,152.17477486823918,109.3665661503701,108.45474111009409,97.6844318817315
66,153.2325717865662,109.41838666656602,108.60249148920606,97.708967321674
67,154.5886762153376,109.7996081706644,108.77496420484218,97.75203459374745
68,155.71198347420494,109.8604051468754,109.00849289471313,97.77739410510783
69,157.26771198980518,109.88401855988882,109.0585919812422,97.80100751812125
70,159.73693680913755,110.05134923464026,109.4288000374383,97.9366051902824
71,161.74546194096496,110.38464765988772,109.55801846203279,98.00392807157377
72,163.92207991624304,110.44462056468083,109.61645227288003,98.02846351151626
73,164.9669499128589,110.52362995127943,110.22650334742445,98.26656410215779
74,167.18284128695686,110.71519221960601,110.40031575450712,98.29478741683181
75,168.96381939582875,110.9574480153101,110.45187609590361,98.43014048847532
76,171.0480552732505,111.00991026720294,110.49999810738532,98.45467592841781
77,172.98761948880184,111.02042582116388,110.70058620355806,98.46601555379664
78,175.14368438194032,111.13183032494406,110.89115992127498,98.51082892421705
79,176.52697781490951,111.37257807499464,111.00185793814585,98.59882978489588
80,177.898103209791,111.39557442099125,111.17237081737915,98.62161912649142
81,178.97434535225926,111.71691376590648,111.22633632299512,98.83958048199204
82,179.97255430183705,111.91171051259543,111.61582542528421,98.98328531359208
83,182.07040864590508,111.93707002395581,111.68331951132348,99.00864482495246
84,183.37903413514502,112.10869338973747,111.73372290366646,99.03400433631283
85,185.40802381776376,112.13343583408104,111.90470869449317,99.11018691526216
86,186.84229544405605,112.35653556601035,112.16464565765143,99.16059030760515
87,188.82791814088534,112.45405719340643,112.38790560907557,99.18512574754764
88,190.10783931376685,112.69344915224805,112.98225733219911,99.27042828666029
89,192.42502001904253,112.71644549824467,113.02719210689918,99.29321762825583
90,194.03736221632883,112.72542195825973,113.038531732278,99.32318704127681
91,195.5068244835583,113.01987596249965,113.15788332275226,99.74486460382215
92,197.4876924576066,113.26837773503364,113.37240952040406,99.76787043526981
93,199.27845083020918,113.66991037847167,113.56540468328035,99.88050110271409
94,200.87080722797722,113.74753409585568,113.68794351053624,99.95730074868023
95,202.05425894206445,113.77227654019926,113.88944131147846,99.98121912160592
96,203.47583763883068,114.00061657462999,114.09534912236943,100.08929090836159
97,205.4126911191868,114.02444647749553,114.35010074222714,100.134104278782
98,206.7785637164652,114.19269542885652,114.38858223485161,100.1580226517077
99,207.43719241516968,114.36484336415569,114.71069921500361,100.25427615673387
100,208.43543488485565,114.4002808290063,114.73605872636399,100.27881159667636
101,209.40706151064117,114.6744250144162,114.82402456129847,100.51347880623639
102,209.83872068035117,114.85459394077552,114.9388556782008,100.5988330722217
103,210.8464170986303,115.18525001452046,115.12309019467557,101.07072118609909
104,213.05208638446848,115.6059418917286,115.23335769675609,101.14752083206523
105,213.88128072858572,115.62893823772522,115.33857880878202,101.33033626022853
106,214.88301740283947,115.70918907299625,115.36157515477863,101.35394967324196
107,215.08402131124754,115.78255038904761,115.43380041896269,101.42648691787544
108,216.75423392125333,115.82871041226025,115.44369890590683,101.47090084274112
109,217.8348684106858,115.8628125377604,115.50336467799356,101.49994822883302
110,220.61926206791412,115.90762590818082,115.52872418935394,101.5253077401934
111,221.20995782218,115.9738568574703,115.7282479702206,101.53664736557222
112,221.91606245064972,115.99921636883067,115.75360748158097,101.5620068769326
113,223.52854019316104,116.26942131916971,115.75360748158097,101.62023368337876
114,224.76506039534485,116.59734020947354,115.93166113714621,101.64497612772233
115,226.45193872090584,116.6522315333842,115.94063759716127,101.65631575310115
116,227.24919025511434,116.80075180484367,116.01493531746083,101.71408592203227
117,229.0343449675424,116.87983166250297,116.19046422959431,101.79542868930518
118,229.83585797396753,116.91475603143027,116.45284807200956,101.81905158776965
119,230.59060573177732,117.28811922438273,116.5415299138893,102.07291816273968
120,232.13848463915016,117.42994629182617,116.71196739883663,102.17309772205583
121,233.29586200333782,117.47940364265833,116.86134023799521,102.2706193494519
122,234.2319210290161,117.51484110750894,117.27152921721523,102.29279162403064
123,235.4744305818133,117.54831485255052,117.38075130223655,102.31578797002726
124,236.2587212116634,117.66078172375254,117.53588469654649,102.36774163574934
125,236.7710244258954,117.81469636894765,117.74329068730056,102.39073798174596
126,237.39334745722945,117.8859707442036,117.76628703329717,102.43472728074849
127,238.80455037612325,118.14984696359981,117.76628703329717,102.52232809251777
128,240.5017650112466,118.56726963150318,117.78928337929379,102.58221252725073
129,241.29232527288553,118.69633857331534,117.81227972529041,102.60674796719323
130,242.02246857824306,118.71753853072234,118.03664291162131,102.65208391898798
131,242.7013590795769,118.75998873577899,118.35462871564228,102.6756973320014
132,243.29712118927523,119.04897540899701,118.42174636451638,102.87179043093528
133,244.10833384728167,119.16380684336555,118.77133275288702,102.91341656457405
134,245.556030858748,119.44638550595373,118.79690875409952,102.93816849436867
135,248.25982277520646,119.54223823266314,118.99459226853081,103.03198370971616
136,249.3459119287075,119.58643453606675,119.04437859385699,103.09041752056339
137,250.37517746447625,119.95526758294203,119.50533714983779,103.17197677768843
138,250.6896865273294,120.25228965031964,119.60369233410279,103.2567232715951
139,251.78820440552784,120.55279300122908,119.63779445960294,103.26806289697393
140,252.8277864844578,120.69441019280903,119.8094178253846,103.29167630998735
141,253.7298915594209,120.91603654550549,119.83241417138122,103.31446565158289
142,254.37771704608897,120.95187345591083,119.85458644595995,103.33900109152539
143,255.6189581832636,121.15078867345973,119.86356290597502,103.43522469335396
144,258.3333439463587,121.20202562267164,119.98856553096101,103.46058420471434
145,259.17638424619247,121.47581680159936,120.03006322236389,103.66710275411361
146,260.88852593255547,121.54012711991115,120.14385494109253,103.6758722097276
147,262.8879074354109,121.56194414433494,120.15283140110759,103.70584162274858
148,264.00529572440126,121.62901650775191,120.22651705917588,103.729455035762
149,266.2074866698774,121.64539955909721,120.31235791636948,103.87588596503447
150,267.31114332079005,121.89476922895768,120.3353542623661,103.95722873230739
151,267.87383347451004,121.9395825993781,120.47067651997655,104.0020421027278
152,268.32851291014845,122.17802083198316,120.48789312819078,104.07565123176197
153,268.72611344971403,122.2138577423885,120.89592863130382,104.1196405307645
154,269.69323906656297,122.40926987843984,120.94396885828304,104.14181280534324
155,270.29752320356425,122.63362432121403,120.98406885248113,104.18685328267676
156,270.7780356621631,122.6999084132192,121.12020430696214,104.26273090171382
157,272.3488176413511,122.82858435730056,121.34558253728976,104.28726634165632
158,272.7302086597532,122.85394386866093,121.3945381056404,104.31005568325186
159,273.80294141262215,123.03964862519256,121.62467730285336,104.39139845052478
160,274.7858393015971,123.22033962995668,121.72125137217263,104.46645199814395
161,275.2830555925052,123.24508207430026,121.74516974509832,104.49119444248753
162,275.7529855011448,123.37852048711713,121.87799109089839,104.5662479901067
163,277.00613026388174,123.40151683311375,122.12061140390503,104.58924433610332
164,278.06736692338467,123.55441428541018,122.31204075260554,104.61203367769886
165,278.9847117609058,123.9579498634225,122.55002199468424,104.63656911764136
166,279.9064641875059,124.26684234707604,122.58404233568193,104.6833462078708
167,281.7169103208135,124.49884165526827,122.60042538702723,104.7078816478133
168,282.7526165013199,124.77616277492102,122.70031017978707,104.73324115917367
169,283.51629293655986,124.88328928884086,122.91822351137486,104.77548435982925
170,284.57234973095734,124.89967234018616,122.98462572750937,104.84909348886342
171,285.22811918925976,124.92420778012865,123.16412052150929,104.87188283045896
172,287.1876938733235,125.1657926195784,123.2233602311029,104.89549624347238
173,288.18123075528956,125.28655873291879,123.25870117707231,104.91374649574551
174,288.3699037291336,125.50408357423152,123.34193080603242,105.00908745929365
175,288.8381991367586,125.5544869665745,123.41042726687327,105.05638539935748
176,290.1557238385349,125.59087047293595,123.49476256515673,105.06773451018735
177,290.6374191369472,125.63891069991517,123.5811231879543,105.14623924711142
178,292.2289024524864,125.67529420627662,123.59246281333313,105.15583277414329
179,292.5209906497369,125.96373525302045,123.60380243871195,105.18405608881731
180,293.805685552951,125.9660984183842,123.75850202357994,105.21484957325617
181,295.60822903966147,126.00180688655365,123.82823083274707,105.29247329064019
182,296.8462593110286,126.03764379695899,123.85359034410745,105.31783280200057
183,297.7937733759403,126.06734376544883,124.0658839676923,105.35650923050548
184,298.4531551121677,126.21949089124581,124.20755369444433,105.43269180945481
185,300.68745858616415,126.4035570597764,124.3353652991545,105.66292695259003
186,301.69371477714964,126.4199401111217,124.38718581535042,105.7414316895141
187,303.1142846526429,126.4199401111217,124.3953382039476,105.75020114512809
188,303.8875260371574,126.80776039730267,124.42069771530798,106.0016362456703
189,304.32056404157356,126.85754672262885,124.44544015965155,106.02463259166692
190,305.3314956131829,126.87392977397415,124.47531191886014,106.10405935552006
191,306.2980398448789,126.99277884668018,124.5262350768071,106.14712662759352
192,307.0016905651876,127.02861575708552,124.64877390406299,106.22475034497754
193,308.9806709305778,127.06445266749085,124.75563282372055,106.267817617051
194,309.36036812943655,127.10028957789619,124.82742049243753,106.31006081770657
195,309.7803875078771,127.28274246658162,124.87782388478051,106.33285015930211
196,310.27305151089257,127.52535408964896,125.13903407245273,106.43447085705294
197,310.87771834523824,127.54173714099426,125.17382999914415,106.46066392528225
198,312.03305276932133,127.5557570269758,125.19682634514076,106.48427733829567
199,313.74140876233474,127.66501257264993,125.21982269113738,106.5427111491429
200,314.23709979226555,127.66737573801369,125.22300992791902,106.54507431450666
201,314.62696296209594,127.68415234598652,125.26120411476093,106.5678636561022
202,315.97624220154336,127.72225216600548,125.35073553376695,106.73190084483754
203,317.35584692155624,127.75808907641081,125.4661840351523,106.79095172270158
204,318.98195269301857,128.18313396312874,125.54223285858434,106.85263811425975
205,320.02803804067895,128.20766940307124,125.59551918189506,106.87625152727317
206,321.121968499269,128.53854565068235,125.67117329054284,106.89924787326979
207,322.00441420903724,128.69566095871616,125.77171180884869,107.01015161130569
208,322.5251125315477,128.71957933164185,125.79728781006119,107.0331479573023
209,323.4573429175186,128.76998272398484,125.79965097542495,107.08355134964529
210,323.82240316337897,128.79167130617273,125.99379344914637,107.14633110962987
211,325.2471311384805,129.09486325080917,126.03005498541486,107.14777224806456
212,325.90326963503196,129.36243860196737,126.5582335144039,107.50515929355308
213,326.8235542046441,129.36243860196737,126.56720997441896,107.51475282058495
214,327.32554577093464,129.39488053094078,126.61471491888386,107.5605116667029
215,328.25977209480726,129.41595204611187,126.68670959200192,107.6375183170701
216,329.283081137908,129.43715200351886,126.77589494100644,107.77395941265475
217,329.74507360156133,129.43889810186582,126.89022568224097,107.81119470272498
218,331.34490369612905,129.47767737774998,126.92357098504665,107.859851996721
219,332.814729862754,129.47767737774998,127.09632715385898,107.8843874366635
220,334.8960586304622,129.47767737774998,127.13782484526186,107.90655971124224
221,335.5181797032334,129.49783635144303,127.20290910820395,107.95315211422911
222,336.80070708985994,129.64936383653182,127.25537136009679,108.09821599987305
223,337.1804042887187,129.72878138624534,127.35244893654084,108.12182941288647
224,337.800143874109,129.82596070214086,127.4527533695437,108.22213384588933
225,338.92553180014204,129.85311404583075,128.00451986664538,108.29293657298989
226,340.0070306717872,129.8725679048908,128.02905530658788,108.39630336908768
227,341.225502629746,129.9061237611071,128.05441481794824,108.4778994522832
228,342.73401161545075,129.92557762016713,128.08234162989856,108.52830284462618
229,343.2003949226726,129.95447706220398,128.11478355887198,108.58848275382037
230,343.565455168533,129.99060686590894,128.12612318425082,108.59663514241755
231,344.55353565264454,130.06232493099262,128.16762087565368,108.67189569443781
232,345.4377864918101,130.07002441562247,128.25760944660905,108.72451187046606
233,346.07890533404196,130.07177051396943,128.51820256726447,108.7466841450448
234,346.9699179763027,130.09122437302946,128.5606527723211,108.77029755805822
235,347.9925809456031,130.09122437302946,128.58282504689984,108.85460880675699
236,348.6594292294769,130.09297047137642,129.17203882967922,108.93790467677793
237,349.43347130486706,130.09297047137642,129.22069612367525,108.96007695135667
238,349.84217126674065,130.09297047137642,129.24461449660095,109.03714054984606
239,350.0312279023252,130.20758031834478,129.26761084259755,109.08579784384209
240,350.7742290183791,130.21527980297464,129.2904001841931,109.16678715040958
241,351.797313241702,130.2176429683384,129.31257245877183,109.18957649200512
242,352.3317908435975,130.227705618332,129.4441933976773,109.21318990501854
243,352.71557674000616,130.3370432751809,129.50475218626542,109.36025819553835
244,353.8191672325803,130.4089299209519,129.61321715928466,109.38325454153497
245,355.18777044108805,130.48480753998894,129.73006420350487,109.47776194821418
246,356.355793937791,130.56221673409044,129.75306054950147,109.55432900694301
247,357.761099981845,130.85392867148508,129.90144129476943,109.57732535293962
248,358.10670636864535,130.85629183684884,129.90462853155108,109.57968851830339
249,359.5355983417859,131.07149674235208,129.91596815692992,109.67885825679235
250,361.5422933368724,131.17117925940892,129.91596815692992,109.68845178382422
251,362.9066199522442,131.24698989709483,129.9458399161385,109.73649201080345
252,364.72689275467553,131.24698989709483,129.9548163761536,109.74546847081851
253,365.10737288294416,131.28162730510934,130.04019170381804,109.75680809619733
254,366.1800786974543,131.3584810723052,130.04834409241522,109.79144550421182
255,366.52630215127147,131.3849660917225,130.12369344523256,109.7922695756297
256,367.6283943905369,131.39266557635236,130.4211166182368,109.8738193473037
257,368.2351721218004,131.73525386388977,130.5246975388349,109.94825582790607
258,368.7494740090241,132.00272756424337,130.5529994156741,110.0467190735647
259,369.426862787382,132.0221814233034,130.62825996769433,110.06971541956132
260,370.2024494305595,132.29807779161848,130.65043224227307,110.15188225825212
261,370.3746889034846,132.32145735875662,130.67496768221557,110.19992248523134
262,370.9607133796043,132.34362963333535,130.69796402821217,110.22209475981008
263,371.14977001518884,132.38574439175503,130.79217493216768,110.28115512312516
264,372.33462190814953,132.61726658121117,130.81691737651124,110.30415146912178
265,374.731036377108,132.6589284356635,130.86847771790772,110.40507296914144
266,374.9128247539878,132.67294832164507,130.9379022212609,110.42806931513806
267,375.98567289887836,132.79169700402448,131.12501966870337,110.56662563042418
268,376.3718586869946,133.097001076072,131.472639018357,110.58941497201972
269,377.2536520820044,133.11102096205354,131.49738146270056,110.61241131801634
270,377.48686420632094,133.18421134072926,131.57500518008456,110.74684236273077
271,377.70141173483694,133.18482840774607,131.60579866452343,110.8003165627885
272,378.7308037993265,133.19946536074443,131.62879501052004,110.82331290878511
273,378.91902687804213,133.23342773056692,131.6702927019229,110.9003765072745
274,379.1481578228971,133.24806468356527,131.76212372600918,110.94903380127053
275,380.17731562745985,133.26270163656363,131.8348639083799,110.99148400632718
